NUMBER OF ITERATIONS:10
POPULATION SIZE:100
NUMBER OF GENERATIONS:200
MUTATION PROBABILITY:0.01
CROSSING PROBABILITY:0.1
TOURNAMENT SIZE:5
GENERATION;BEST FITNESS;AVERAGE FITNESS; WORST FITNESS;
0;1590.79070207154;-2686.53941272228;-11230.8067979352;
0;1590.79070207154;144.736665215566;-4099.5991883128;
1;1590.79070207154;992.248355963464;-2403.83236082416;
2;1590.79070207154;1342.49106801602;-2403.83236082416;
3;1590.79070207154;1520.70756527354;748.613937355141;
4;1590.79070207154;1294.30481384047;-3231.28744630512;
5;1590.79070207154;1401.76994942628;-3231.28744630512;
6;1590.79070207154;878.977848632364;-880.099508950252;
7;1590.79070207154;1590.79070207154;1590.79070207154;
8;1590.79070207154;1467.24619152045;-880.099508950252;
9;1590.79070207154;1555.09972934756;-193.757934127364;
10;1590.79070207154;1580.46894922639;1246.73227389985;
11;1590.79070207154;1590.79070207154;1590.79070207154;
12;1590.79070207154;1590.79070207154;1590.79070207154;
13;1594.32787663293;1590.82607381715;1590.79070207154;
14;1654.17445566182;1574.28984008412;-210.823225780811;
15;1654.17445566182;1598.50572162436;1590.79070207154;
16;1654.17445566182;1622.87452195358;1590.79070207154;
17;1654.17445566182;1639.98528153781;1590.79070207154;
18;1654.17445566182;1485.76531509234;1217.72124648463;
19;1654.17445566182;1616.67285998047;1237.49005920238;
20;1654.17445566182;1623.00506736561;1114.12356902955;
21;1654.17445566182;1650.00761169723;1237.49005920238;
22;1654.17445566182;1654.17445566182;1654.17445566182;
23;1654.17445566182;1654.17445566182;1654.17445566182;
24;1654.17445566182;1654.17445566182;1654.17445566182;
25;1654.17445566182;1631.56671333668;523.787339404967;
26;1654.17445566182;1646.32923527164;1295.39496805572;
27;1654.17445566182;1619.32226196793;-88.435229032752;
28;1654.17445566182;1654.17445566182;1654.17445566182;
29;1654.17445566182;1510.43233406984;-3137.22959740415;
30;1654.17445566182;1643.41988589304;1295.68879670234;
31;1654.17445566182;1494.52508722223;-3137.22959740415;
32;1654.17445566182;1545.79798793191;449.991480885011;
33;1654.17445566182;1654.17445566182;1654.17445566182;
34;1654.17445566182;1509.6724986886;449.991480885011;
35;1654.17445566182;1360.33572898824;-606.123441827256;
36;1654.17445566182;1622.0693663632;-606.123441827256;
37;1654.17445566182;1643.56962443008;1521.61406526506;
38;1654.17445566182;1654.17445566182;1654.17445566182;
39;1654.17445566182;1654.17445566182;1654.17445566182;
40;1654.17445566182;1653.97349538796;1647.47577986633;
41;1654.17445566182;1650.82775733343;1326.20329861836;
42;1654.17445566182;1642.73661098334;523.787339404967;
43;1758.11472283995;1657.29266367717;1654.17445566182;
44;1758.11472283995;1592.65716106687;-88.435229032752;
45;1758.11472283995;977.629825431398;-578.702018497685;
46;1758.11472283995;1655.16857641757;-578.702018497685;
47;1758.11472283995;1749.54324430287;1654.17445566182;
48;1758.11472283995;1756.94719158675;1699.73816017996;
49;1758.11472283995;1758.11472283995;1758.11472283995;
50;1758.11472283995;1758.11472283995;1758.11472283995;
51;1758.11472283995;1758.04214328927;1756.90506366193;
52;1758.11472283995;1758.11472283995;1758.11472283995;
53;1758.11472283995;1758.11472283995;1758.11472283995;
54;1758.11472283995;1714.11171171379;1443.80750051021;
55;1758.11472283995;1758.11472283995;1758.11472283995;
56;1758.11472283995;1754.64150301839;1642.34072878773;
57;1758.11472283995;1739.43666206052;1642.34072878773;
58;1758.11472283995;1731.16013002787;1373.0491112387;
59;1758.11472283995;1746.290702167;1561.04771162406;
60;1758.11472283995;1715.37225040796;1223.83381744005;
61;1758.11472283995;1667.64030442009;1341.04920086322;
62;1758.11472283995;1725.21035410895;1209.70857732326;
63;1758.11472283995;1758.11472283995;1758.11472283995;
64;1873.30355522615;1730.49165944516;1205.88751961054;
65;1873.30355522615;1490.1181724014;-2983.22115226895;
66;1873.30355522615;1830.68368724326;1758.11472283995;
67;1873.30355522615;1814.82592554156;1701.41588942141;
68;1873.30355522615;1844.32614097596;1701.41588942141;
69;1873.30355522615;1849.52484632494;221.73518274307;
70;1873.30355522615;1873.30355522616;1873.30355522615;
71;1873.30355522615;1813.65655384077;1331.05808808632;
72;1873.30355522615;1867.88110055476;1331.05808808632;
73;1873.30355522615;1867.88110055476;1331.05808808632;
74;1875.33711303085;1868.18613422546;1331.05808808632;
75;1875.33711303085;1874.17798508217;1873.30355522615;
